monkey_id;b0;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;b24;b25;b26;b27;b28;b29;b30;b31;b32;b33;b34;b35;b36;b37;b38;b39;b40;b41;b42;b43;b44;b45;b46;b47;b48;b49;b50;b51;b52;b53;b54;b55;b56;b57;b58;b59;b60;b61;b62;b63;b64;b65;b66;b67;b68;b69;b70;b71;b72;b73;b74;b75;b76;b77;b78;b79;b80;b81;b82;b83;b84;b85;b86;b87;b88;b89;b90;b91;b92;b93;b94;b95;b96;b97;b98;b99;b100;b101;b102;b103;b104;b105;b106;b107;b108;b109;b110;b111;b112;b113;b114;b115;b116;b117;b118;b119;b120;b121;b122;b123;b124;b125;b126;b127;b128;b129;b130;b131;b132;b133;b134;b135;b136;b137;b138;b139;b140;b141;b142;b143;b144;b145;b146;b147;b148;b149;b150;b151;b152;b153;b154;b155;b156;b157;b158;b159;b160;b161;b162;b163;b164;b165;b166;b167;b168;b169;b170;b171;b172;b173;b174;b175;b176;b177;b178;b179;b180;b181;b182;b183;b184;b185;b186;b187;b188;b189;b190;b191;b192;b193;b194;b195;b196;b197;b198;b199;b200;b201;b202;b203;b204;b205;b206
min;100000.00;99799.87;99600.12;99397.77;99191.18;99204.57;99422.75;99465.49;99265.78;99062.91;98860.99;98706.34;98500.57;98718.90;98658.40;98879.51;99087.41;98883.94;98684.66;98481.06;98278.53;98079.93;97877.65;97678.29;97900.32;98091.55;98158.54;98216.90;98437.77;98651.36;98532.00;98482.66;98703.72;98925.28;98725.54;98526.22;98526.22;98744.15;98822.20;98908.04;98958.96;98752.96;98554.18;98765.08;98765.08;98980.35;99199.21;99000.68;98798.79;98599.92;98400.59;98193.85;97991.27;97791.94;97588.59;97805.40;97915.07;98135.67;97935.90;98150.18;97948.10;97745.52;97546.50;97344.15;97255.79;97056.70;96856.84;97078.13;97299.19;97520.85;97594.28;97394.86;97613.32;97413.61;97211.45;97186.69;96987.98;96789.55;96586.66;96808.14;96804.64;97024.97;97084.42;96885.72;96685.94;96483.13;96469.19;96262.81;96481.12;96282.42;96497.32;96554.42;96774.68;96971.57;97024.05;96822.11;96619.23;96420.67;96220.96;96219.82;96013.78;96231.07;96449.72;96556.90;96778.10;96995.06;96785.06;96583.23;96383.92;96181.24;96181.24;95979.41;95777.19;95972.81;96193.42;96411.37;96632.04;96558.88;96355.84;96577.21;96479.54;96699.73;96500.59;96721.79;96522.09;96320.48;96117.60;95917.85;95715.28;95512.12;95313.75;95110.21;94907.49;94703.59;94925.14;94725.24;94525.97;94319.21;94116.22;93908.95;93710.14;93511.13;93312.81;93114.08;93336.03;93556.77;93357.21;93158.57;93379.56;93180.16;92981.88;93203.70;93424.19;93646.02;93446.37;93242.84;93463.13;93684.09;93645.97;93868.04;93977.16;93984.74;93991.82;93998.97;94220.53;94020.73;93820.74;93621.02;93421.72;93222.99;93024.02;92820.80;92622.19;92841.00;92642.32;92443.20;92244.38;92042.17;91840.63;91818.79;91620.24;91421.83;91639.27;91860.84;92078.63;92296.65;92293.27;92514.77;92311.83;92418.65;92507.92;92507.92;92726.46;92662.20;92462.60;92263.33;92478.68;92699.85;92920.84;92722.41;92508.88;92277.09;92073.90;92045.81;91827.04;92038.99;91840.53
q01;100000.00;100222.37;100444.32;100579.22;100373.38;100594.36;100391.69;100189.85;99990.14;99787.52;99585.74;99596.21;99810.41;100029.01;99823.17;100044.28;99831.36;99857.59;99658.30;99877.18;99675.21;99476.61;99274.85;99075.49;99297.52;99072.29;99290.59;99388.83;99467.02;99460.89;99261.75;99063.36;98864.40;98665.00;98465.26;98686.73;98908.23;99126.57;99294.54;99402.31;99616.83;99411.47;99632.34;99423.97;99224.69;99018.43;98815.37;99035.97;98834.22;99055.20;99276.67;99491.82;99289.83;99511.31;99308.58;99413.06;99213.22;99014.68;98814.91;98608.76;98406.97;98313.65;98114.62;97912.52;97713.73;97514.64;97314.78;97536.07;97757.13;97757.13;97977.62;98199.20;97996.15;97796.44;97594.18;97815.71;97617.00;97418.57;97215.44;97016.11;97233.57;97035.27;96832.67;96633.97;96434.19;96231.05;96032.48;96246.65;96464.80;96685.58;96478.66;96697.12;96698.90;96916.00;97133.87;97351.15;97148.39;96949.83;97171.72;97388.57;97182.82;97400.24;97539.62;97757.32;97558.24;97356.69;97567.91;97614.12;97578.57;97376.02;97177.61;96975.95;97193.48;96972.38;97192.99;97137.77;96939.17;96991.85;97209.99;97431.37;97233.09;97034.91;96835.77;97056.97;97278.86;97076.37;96872.64;97094.57;97311.15;97528.22;97329.85;97472.83;97269.64;97487.49;97502.58;97302.68;97103.41;96895.64;96849.03;97061.64;96862.83;96663.82;96884.17;96685.44;96485.70;96287.04;96087.48;95888.85;96109.83;96119.83;95921.55;95721.91;95523.46;95323.82;95124.16;94920.39;94722.13;94523.26;94323.92;94124.07;93925.48;93726.41;93526.62;93748.60;93970.16;94192.16;94414.38;94214.66;94015.36;93816.63;93964.84;94113.18;94333.85;94409.52;94630.27;94669.09;94890.01;94769.39;94703.81;94925.10;95145.70;94947.29;94744.36;94544.95;94341.77;94138.36;93935.73;94033.39;94118.70;94340.20;94561.36;94782.62;94578.92;94518.26;94740.04;94961.44;95175.62;95396.79;95617.78;95838.25;95627.44;95401.47;95198.75;95416.08;95620.38;95411.95;95632.46
q02;100000.00;100222.37;100444.32;100241.74;100456.36;100257.48;100146.36;99944.17;99744.46;99541.43;99693.77;99494.84;99708.69;99505.35;99298.73;99099.73;99307.49;99525.99;99326.70;99123.21;99340.44;99372.15;99340.34;99140.98;98941.15;98712.85;98930.70;98731.12;98532.35;98326.60;98127.46;97929.07;97730.11;97530.71;97752.65;97553.33;97353.98;97151.14;97372.17;97470.18;97683.55;97562.56;97783.42;97993.87;97794.59;97587.41;97625.68;97846.28;97868.53;97669.65;97891.13;97792.69;98009.88;98231.36;98449.46;98666.51;98466.67;98268.12;98068.36;97861.49;97659.33;97651.96;97873.09;97670.81;97472.02;97693.23;97826.43;97627.26;97428.32;97649.97;97870.46;98092.04;98310.44;98110.73;98107.15;97907.77;97709.06;97510.63;97498.42;97299.09;97096.23;96897.93;97115.43;96916.73;97138.71;97356.91;97158.34;97372.82;97591.07;97811.84;98026.61;97823.11;98043.36;97841.33;98059.03;98056.13;97853.21;98073.83;98205.21;98003.47;98217.36;98434.57;98231.05;98028.43;98249.63;98466.48;98256.00;98472.92;98524.66;98563.09;98364.68;98162.75;97960.47;98155.80;98376.41;98396.02;98616.69;98417.37;98214.26;98435.63;98237.35;98039.17;97840.03;97640.96;97862.85;98079.63;98297.65;98280.22;98140.62;98358.45;98160.07;98378.33;98175.84;97972.31;97772.92;97772.92;97573.65;97787.51;97584.95;97378.34;97179.53;96980.52;96782.20;96583.47;96383.73;96185.07;96185.07;95986.43;95787.54;96009.09;96229.41;96451.23;96252.78;96474.61;96274.95;96071.55;95873.29;95674.42;95895.91;96117.97;95919.38;96140.57;95940.78;95741.00;95962.56;96184.56;96406.78;96207.06;96428.51;96649.32;96450.35;96246.60;96047.99;95844.66;96065.41;96210.19;96011.36;95985.16;95783.45;96004.74;96225.34;96026.93;95824.49;96046.07;95843.34;95640.40;95857.46;95658.10;95876.25;96097.74;95898.69;95699.56;95496.21;95709.93;95510.34;95311.07;95525.98;95747.15;95968.14;96188.61;96399.05;96594.18;96811.24;96716.76;96735.15;96528.79;96749.30
q03;100000.00;99799.87;99600.12;99398.10;99192.28;98993.40;98791.01;98589.45;98389.74;98187.39;97985.95;98206.99;98002.38;97799.69;98015.40;97816.40;97604.58;97401.81;97623.24;97420.50;97218.88;97020.27;96987.89;97209.41;97431.45;97365.25;97356.47;97578.22;97379.45;97594.61;97815.88;98036.31;98257.38;98057.98;97858.24;98079.71;98301.21;98233.11;98034.18;97831.50;97625.72;97805.43;98026.30;98028.70;98250.12;98215.52;98433.93;98654.53;98452.27;98253.40;98474.87;98496.49;98293.96;98094.63;97891.28;98107.90;97908.06;98128.66;98350.62;98143.07;97940.55;98157.44;97958.42;98109.27;98330.14;98551.35;98548.71;98770.00;98991.06;99092.72;99163.69;99184.42;99207.31;99070.79;99287.75;99509.29;99310.58;99112.15;98909.05;98709.72;98506.74;98308.44;98525.96;98557.66;98601.18;98634.29;98854.92;98925.48;98722.36;98523.66;98425.44;98643.90;98556.19;98773.11;98990.85;99207.96;99425.97;99646.59;99446.88;99245.09;99038.68;98836.27;98895.93;98693.12;98494.05;98291.94;98501.34;98580.43;98801.89;99019.56;98821.15;99037.86;98835.39;98826.72;99047.33;99264.82;99485.49;99706.95;99924.42;100145.79;99947.51;99749.33;99550.19;99771.39;99993.28;99987.58;100205.37;100005.63;100222.86;100241.91;100043.53;100261.66;100099.00;99895.29;99695.90;99496.00;99717.41;99930.71;99957.31;99750.34;99551.53;99673.06;99707.40;99928.21;99728.47;99949.21;100170.94;100391.65;100612.63;100818.37;101007.15;101228.97;101261.51;101297.80;101297.80;101516.66;101318.40;101119.53;100920.19;101142.26;101362.91;101584.10;101384.31;101184.52;100985.12;100785.32;100585.33;100385.61;100186.31;99987.58;99788.61;100007.52;100228.19;100166.40;100030.36;99831.24;99632.42;99468.33;99685.34;99486.18;99706.79;99508.38;99306.00;99527.57;99745.30;99835.63;99633.63;99434.27;99231.12;99031.77;98832.72;98633.59;98429.93;98223.05;98023.45;97824.19;98038.25;98259.42;98480.41;98281.98;98070.73;97843.30;97640.45;97857.64;97640.00;97432.04;97233.58
q04;100000.00;99799.87;99600.12;99818.12;100033.80;100254.78;100293.06;100091.30;100313.20;100531.59;100748.96;100970.00;100942.63;101011.40;100805.70;100606.70;100394.19;100191.23;99991.94;99788.95;99587.00;99807.67;100025.22;99825.86;99626.03;99822.31;100040.72;99841.14;100062.00;99857.35;99914.95;100135.38;99936.42;99737.02;99537.28;99337.96;99138.60;99356.92;99157.99;98955.93;98751.28;98724.58;98706.48;98553.69;98775.11;98990.79;98900.13;99120.73;99117.66;98918.78;98719.45;98513.17;98311.05;98111.72;98108.19;98325.14;98547.18;98348.64;98148.87;98210.51;98008.47;97805.83;98026.97;97824.49;98045.36;97846.27;98068.34;97869.18;97670.23;97470.74;97272.30;97072.87;96869.48;96669.77;96467.46;96268.08;96488.87;96627.78;96424.89;96646.37;96443.64;96245.34;96320.34;96409.05;96631.02;96849.53;96650.96;96866.00;97084.51;96885.81;97101.02;96897.79;97118.04;96916.31;96713.91;96931.27;96728.54;96711.92;96933.81;97150.80;96945.31;97162.89;97276.72;97074.55;97100.66;97317.80;97108.35;97325.69;97126.38;97344.68;97565.13;97782.43;97580.55;97769.51;97769.51;97986.66;97788.06;97588.74;97805.70;98027.07;98247.37;98467.57;98268.43;98069.36;98291.25;98507.39;98724.68;98946.61;98743.47;98960.63;99181.04;99398.70;99195.56;98991.31;98910.10;98710.20;98766.42;98771.80;98568.50;98360.37;98161.56;98382.68;98184.36;97985.63;97985.63;97786.97;97587.41;97388.78;97189.89;96990.49;96792.21;97014.03;96815.58;96615.93;96837.78;97055.81;97149.40;97370.36;97591.85;97591.85;97812.50;98033.69;98255.68;98477.66;98278.25;98078.46;97878.46;97678.74;97479.44;97700.25;97501.28;97297.68;97518.35;97554.51;97554.51;97775.76;97859.06;98076.50;97874.63;97675.48;97476.93;97697.39;97494.67;97716.24;97616.52;97413.33;97630.16;97665.89;97883.92;98105.41;98326.57;98127.44;98345.43;98138.66;97939.06;98160.46;97952.34;98173.51;97974.62;97776.19;97564.00;97754.46;97970.91;97767.23;97971.80;97763.63;97565.17
q05;100000.00;100222.37;100444.32;100242.25;100457.98;100259.09;100056.42;99976.77;99777.06;99574.44;99791.64;100012.68;100226.83;100023.81;100238.93;100460.04;100247.14;100228.81;100450.24;100669.10;100886.75;100688.14;100486.38;100287.01;100509.05;100704.80;100923.08;101144.84;101171.50;101219.58;101020.44;100822.05;100623.09;100423.69;100223.95;100024.63;100246.13;100464.47;100666.76;100813.10;101027.55;100822.16;100623.38;100835.17;100924.53;100718.31;100515.25;100735.85;100534.10;100755.08;100976.55;101191.64;100989.66;101211.15;101060.27;101277.60;101077.76;100879.22;100679.45;100473.32;100271.52;100069.22;99870.20;99668.06;99469.27;99270.18;99070.32;98871.16;98672.21;98742.92;98963.41;99184.99;99403.48;99203.78;99001.54;98802.16;99022.94;98824.51;99042.24;99263.72;99060.42;98862.12;99079.68;98880.98;98681.20;98478.08;98279.51;98493.67;98290.47;98091.77;98306.48;98524.95;98512.37;98310.47;98528.34;98326.43;98123.66;97925.10;97725.39;97942.23;97736.49;97953.88;97750.60;97968.29;97769.22;97567.67;97778.93;97907.75;97875.85;97796.02;97597.61;97395.95;97613.47;97392.40;97613.01;97583.37;97384.78;97606.24;97633.79;97855.16;97656.88;97458.70;97259.57;97480.76;97702.65;97500.14;97717.33;97517.58;97734.16;97729.74;97531.37;97748.97;97545.78;97763.63;97985.18;97785.28;97586.01;97378.24;97393.67;97606.31;97407.50;97208.49;97010.17;97230.98;97031.24;96832.58;96633.02;96434.39;96464.09;96522.70;96584.62;96384.98;96186.53;95986.89;95787.23;95583.46;95385.20;95606.16;95406.82;95206.97;95008.38;94809.31;95031.30;95253.28;95474.84;95696.84;95919.06;95719.34;95520.04;95321.31;95542.38;95681.59;95681.59;95767.04;95987.79;96209.04;96429.95;96304.61;96262.57;96483.86;96704.46;96704.46;96501.54;96302.13;96098.96;95895.53;95692.89;95914.39;95936.12;96157.62;96378.78;96600.04;96396.34;96337.33;96559.11;96780.51;96994.67;97215.84;97436.83;97657.30;97866.63;97640.71;97438.00;97234.19;97438.38;97650.59;97871.10
q06;100000.00;100222.37;100022.61;99820.37;100035.76;100256.74;100475.24;100692.74;100493.03;100290.40;100088.73;100090.08;99884.81;100103.27;100318.24;100119.24;100328.40;100547.23;100347.94;100566.79;100560.20;100361.59;100159.84;99960.48;99760.65;99535.23;99332.76;99133.18;99354.04;99423.96;99645.24;99865.67;99893.88;99694.48;99494.74;99716.21;99937.71;99735.46;99536.53;99754.75;99969.17;99763.67;99783.16;99830.97;99631.69;99847.43;99644.39;99445.85;99244.09;99045.21;98845.88;98780.90;98998.31;98798.98;99017.28;99234.57;99034.73;98836.19;98636.42;98851.32;98649.67;98447.54;98248.52;98046.52;97847.73;98068.94;97869.08;97669.92;97470.97;97271.48;97073.04;97294.62;97091.54;97313.44;97111.18;97332.71;97134.00;96935.57;96732.68;96533.35;96751.09;96971.42;97188.48;97409.27;97209.49;97006.07;97226.71;97440.83;97237.35;97458.12;97250.79;97047.19;96848.97;96646.93;96444.22;96661.28;96879.33;96988.46;97031.48;96829.91;96624.08;96841.43;96638.15;96855.76;97076.96;96875.40;96665.31;96882.40;97103.86;97321.91;97542.36;97759.40;97976.86;98173.94;98394.54;98354.88;98575.55;98797.01;98735.54;98956.92;99177.22;99397.42;99618.68;99419.61;99219.91;99435.76;99652.94;99537.76;99334.43;99251.11;99052.74;99189.89;99212.31;99430.13;99651.68;99873.78;99674.51;99886.66;99683.25;99895.68;99696.87;99917.99;100138.34;99939.61;100161.55;100382.29;100604.02;100405.39;100206.50;100007.10;99808.82;99609.18;99829.68;99851.06;99899.97;99696.22;99497.96;99299.09;99299.09;99521.16;99741.81;99542.74;99342.95;99143.16;98943.76;98743.97;98543.97;98344.25;98144.95;97946.22;97747.25;97543.34;97603.71;97821.73;98042.48;97843.36;97925.24;98142.35;98173.57;98394.86;98615.46;98547.63;98764.51;98986.08;99203.23;98999.84;98797.24;98597.88;98394.15;98394.15;98615.31;98615.31;98833.21;98862.09;98662.49;98463.23;98255.43;98056.38;98277.37;98497.84;98706.86;98899.37;98696.82;98493.16;98276.71;98489.31;98290.85
q07;100000.00;100222.37;100444.32;100287.47;100081.99;99883.11;99680.73;99479.22;99701.12;99498.81;99297.46;99345.02;99140.53;98937.78;98732.32;98533.32;98320.48;98117.28;98338.71;98135.60;97933.56;98154.23;98371.55;98371.55;98593.59;98364.39;98161.57;97961.99;97763.22;97557.43;97358.29;97578.72;97578.72;97800.28;98022.21;97822.90;97818.41;98036.69;98114.83;98241.91;98037.43;98252.85;98265.85;98477.56;98698.98;98492.95;98289.99;98510.58;98728.12;98728.12;98528.79;98744.24;98782.79;99004.27;98801.72;99019.22;99055.64;99276.24;99498.20;99713.65;99929.92;99726.79;99527.76;99324.91;99324.91;99546.12;99346.26;99147.10;99046.24;99018.27;99017.01;98817.58;98614.03;98835.93;99052.70;99052.70;98853.99;98655.56;98873.09;99005.30;98802.10;98603.80;98600.03;98401.33;98623.30;98420.07;98640.71;98854.56;98651.12;98871.89;99085.89;99071.34;99291.59;99314.32;99378.96;99176.52;98973.17;99193.79;98994.08;98791.90;98584.85;98382.13;98178.03;98234.16;98455.36;98253.02;98461.69;98544.32;98583.91;98626.08;98657.58;98653.53;98870.28;98757.81;98559.26;98355.69;98157.09;98378.55;98418.86;98640.23;98441.95;98243.77;98205.86;98427.05;98361.93;98578.45;98796.23;99018.16;99235.45;99032.30;99252.71;99049.15;98846.39;98642.52;98443.13;98243.23;98306.55;98099.55;98316.69;98108.47;98227.27;98028.26;98248.61;98248.61;98470.55;98691.29;98491.73;98293.09;98094.20;97894.80;98115.11;98007.58;97809.13;97609.48;97831.33;97627.69;97847.98;98068.94;98290.43;98512.50;98733.15;98954.34;99176.33;99398.31;99439.67;99374.46;99317.08;99288.13;99200.43;99200.43;99001.46;99220.23;99440.90;99432.07;99233.39;99034.27;99165.07;98962.60;98760.82;98561.66;98782.26;98583.85;98381.23;98602.80;98538.01;98755.65;98972.61;98773.26;98570.02;98370.67;98171.62;97972.49;97768.97;97562.61;97784.39;98005.79;98220.51;98377.59;98542.59;98721.06;98709.91;98485.08;98282.73;98500.52;98285.58;98498.90;98498.90
q08;100000.00;100054.67;100101.97;100320.50;100115.66;100336.64;100133.47;100350.42;100572.31;100772.06;100988.98;100879.34;100841.02;100637.63;100851.94;101073.05;100858.64;100655.12;100876.55;100673.10;100890.34;100691.74;100908.84;100709.47;100509.64;100701.74;100498.87;100299.29;100520.16;100314.44;100535.71;100337.33;100138.37;100048.54;99848.80;99649.48;99450.12;99667.75;99468.82;99266.12;99060.39;99274.70;99495.57;99529.68;99460.76;99675.51;99679.59;99481.06;99697.99;99742.18;99963.65;100178.16;99975.94;99886.10;99683.03;99899.99;100122.03;100342.63;100550.60;100765.11;100982.15;100779.76;100580.74;100577.25;100378.46;100179.37;99979.51;99780.35;99581.40;99381.91;99602.40;99485.50;99282.13;99082.42;99299.37;99520.90;99627.43;99639.23;99857.14;99657.81;99455.03;99256.73;99054.20;99274.99;99075.21;99051.37;98852.80;98645.84;98442.51;98604.35;98707.40;98925.80;99146.06;99363.02;99580.75;99493.41;99711.29;99766.42;99566.71;99563.77;99625.49;99842.66;99839.05;99636.47;99857.66;100074.43;100028.94;100025.45;99826.14;99623.35;99424.94;99223.04;99020.81;98995.29;99215.90;99433.81;99654.48;99808.25;100026.10;99826.87;100047.18;100267.37;100068.24;100156.48;99956.78;99755.07;99552.09;99352.34;99569.66;99787.41;100007.82;100226.20;100089.73;99886.17;99686.77;99486.88;99708.28;99556.78;99354.12;99147.37;99368.27;99169.26;98970.94;98772.21;98732.42;98533.76;98334.20;98554.91;98356.02;98156.62;97958.34;97758.71;97560.26;97782.09;97582.43;97378.93;97599.22;97820.18;97620.83;97655.65;97457.06;97678.25;97900.24;97700.45;97922.01;98144.01;97944.02;97744.30;97545.00;97346.27;97147.29;97365.63;97167.02;96963.41;96764.73;96985.97;96787.15;96584.51;96382.57;96603.86;96405.31;96206.90;96424.04;96430.40;96503.67;96721.46;96820.77;97042.27;96839.08;97060.58;97281.74;97503.00;97721.28;97934.97;97735.38;97904.48;98119.41;97920.36;97721.47;97941.94;98151.82;98346.58;98434.12;98530.27;98535.82;98528.56;98703.39
q09;100000.00;100222.37;100022.61;100240.56;100034.41;99835.52;100053.82;99851.90;100073.79;99871.17;100088.48;100309.52;100326.43;100123.39;99917.41;100138.52;100347.31;100144.15;99944.86;99741.72;99539.70;99760.37;99725.54;99755.63;99787.08;99849.32;100067.55;99867.97;99669.20;99883.44;99684.30;99904.73;99705.77;99506.37;99306.63;99397.54;99198.18;98995.95;98797.02;99015.19;98810.56;99025.88;99246.75;99395.95;99617.37;99553.29;99350.23;99151.69;99148.51;99369.49;99170.16;99384.99;99602.40;99823.88;100042.19;99840.20;100062.24;100042.61;100264.57;100058.20;99856.47;99654.29;99727.93;99526.06;99327.27;99128.18;98928.32;99149.61;98950.67;99172.33;98973.88;98774.45;98571.50;98371.79;98588.93;98810.46;98801.61;99022.10;99239.98;99461.46;99258.65;99060.35;98857.90;98659.20;98459.42;98677.58;98898.22;99111.50;99329.27;99130.57;98923.33;98719.51;98939.76;99156.56;98953.73;98751.51;98969.40;98770.84;98571.13;98593.28;98807.43;98791.44;98588.10;98385.66;98606.86;98823.79;99035.06;98833.24;98633.93;98431.28;98232.87;98031.10;97987.51;97765.32;97566.77;97363.89;97584.56;97806.02;97774.35;97709.55;97888.30;98108.50;98196.88;98418.08;98218.38;98434.19;98230.28;98030.54;97827.00;98043.85;98264.26;98060.15;97945.99;97741.61;97542.21;97342.32;97512.52;97724.68;97941.43;97733.10;97534.29;97335.28;97555.63;97503.76;97725.70;97527.04;97327.48;97548.19;97769.18;97990.73;98211.04;98011.40;97812.95;97613.31;97413.65;97209.87;97430.16;97231.29;97031.95;96832.10;96633.51;96854.70;96654.90;96455.12;96676.68;96898.68;96915.38;97137.29;97358.75;97160.02;96961.04;96757.31;96558.70;96776.66;96997.41;97218.66;97237.14;97034.16;97250.41;97051.26;97271.86;97492.32;97565.64;97582.05;97799.08;98016.35;97883.74;98105.24;98322.91;98123.56;97924.51;97725.38;97943.14;98155.70;98190.13;98411.53;98625.44;98685.49;98705.42;98705.42;98494.04;98375.57;98592.19;98809.86;99015.28;99228.21;99029.75
