"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"3";"USATECHIDXUSD_ftmo";"Buy";"2024.01.02 11:00:00";"16830.87";"1.18";"2024.01.02 13:30:00";"16662.56";"-198,61";"99801,39";"IST";"SL";"-198,61";"0,00";"2h 30m";"";"-0,00";"16662,56055";"-198,61";"-168,31";"99801,39";"17318,97070"
"24";"USATECHIDXUSD_ftmo";"Buy";"2024.01.04 10:30:00";"16400.79";"1.21";"2024.01.05 11:00:00";"16236.78";"-201,67";"99599,73";"IST";"SL";"-198,45";"24,31";"1d 0h 30m";"";"-3,22";"16236,78027";"-201,67";"-164,01";"99599,73";"16876,41016"
"28";"USATECHIDXUSD_ftmo";"Sell";"2024.01.05 18:00:00";"16414.95";"2.43";"2024.01.05 21:00:00";"16330.13";"206,11";"99805,84";"IST";"End Of Friday (Time)";"-6,61";"348,15";"3h 0m";"";"0,00";"16497,01953";"206,11";"84,82";"99805,84";"16234,38965"
"61";"USATECHIDXUSD_ftmo";"Buy";"2024.01.08 11:15:00";"16256.62";"1.23";"2024.01.10 11:00:00";"16728.06";"573,38";"100179,73";"IST";"PT";"-46,58";"579,87";"1d 23h 45m";"";"-6,49";"16094,04980";"573,38";"471,44";"100179,73";"16728,06055"
"64";"USATECHIDXUSD_ftmo";"Sell";"2024.01.08 16:15:00";"16351.85";"2.44";"2024.01.08 16:45:00";"16433.61";"-199,49";"99606,34";"IST";"SL";"-199,49";"8,59";"30m 0s";"";"0,00";"16433,60938";"-199,49";"-81,76";"99606,34";"16171,98047"
"133";"USATECHIDXUSD_ftmo";"Sell";"2024.01.11 16:15:00";"16835.46";"2.37";"2024.01.11 18:00:00";"16650.27";"438,90";"100618,63";"IST";"PT";"-150,82";"438,90";"1h 45m";"";"0,00";"16919,64063";"438,90";"185,19";"100618,63";"16650,26953"
"131";"USATECHIDXUSD_ftmo";"Buy";"2024.01.11 17:00:00";"16715.15";"1.19";"2024.01.12 21:00:00";"16838.53";"143,60";"100762,22";"IST";"End Of Friday (Time)";"-122,29";"224,52";"1d 4h 0m";"";"-3,23";"16548,00000";"143,60";"123,38";"100762,22";"17199,89063"
"178";"USATECHIDXUSD_ftmo";"Buy";"2024.01.15 16:45:00";"16800.20";"1.19";"2024.01.17 16:30:00";"16632.20";"-206,41";"100555,81";"IST";"SL";"-199,92";"116,82";"1d 23h 45m";"";"-6,49";"16632,19922";"-206,41";"-168,00";"100555,81";"17287,41016"
"181";"USATECHIDXUSD_ftmo";"Buy";"2024.01.17 22:00:00";"16695.19";"1.19";"2024.01.19 19:30:00";"17179.35";"569,70";"101125,52";"IST";"PT";"-32,25";"576,15";"1d 21h 30m";"";"-6,45";"16528,24023";"569,70";"484,16";"101125,52";"17179,34961"
"229";"USATECHIDXUSD_ftmo";"Sell";"2024.01.22 16:45:00";"17381.32";"2.3";"2024.01.24 05:00:00";"17468.23";"-193,47";"100932,05";"IST";"SL";"-199,89";"221,49";"1d 12h 15m";"";"6,42";"17468,23047";"-193,47";"-86,91";"100932,05";"17190,13086"
