"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"12";"USATECHIDXUSD_ftmo";"Buy";"2024.01.04 18:45:00";"16383.39";"2.03";"2024.01.04 22:45:00";"16285.09";"-199,55";"99800,45";"IST";"SL";"-199,55";"0,00";"4h 0m";"";"-0,00";"16285,08984";"-199,55";"-98,30";"99800,45";"16645,51953"
"15";"USATECHIDXUSD_ftmo";"Buy";"2024.01.05 20:00:00";"16287.19";"2.04";"2024.01.05 21:00:00";"16328.73";"84,74";"99885,20";"IST";"End Of Friday (Time)";"-34,50";"116,91";"1h 0m";"";"-0,00";"16189,46973";"84,74";"41,54";"99885,20";"16547,78906"
"17";"USATECHIDXUSD_ftmo";"Sell";"2024.01.08 16:30:00";"16368.07";"2.03";"2024.01.08 16:45:00";"16466.28";"-199,37";"99685,83";"IST";"SL";"-199,37";"0,00";"15m 0s";"";"0,00";"16466,27930";"-199,37";"-98,21";"99685,83";"16138,91992"
"25";"USATECHIDXUSD_ftmo";"Sell";"2024.01.10 11:00:00";"16736.34";"1.99";"2024.01.11 02:45:00";"16836.76";"-197,16";"99488,66";"IST";"SL";"-199,84";"162,94";"15h 45m";"";"2,67";"16836,75977";"-197,16";"-100,42";"99488,66";"16502,02930"
"28";"USATECHIDXUSD_ftmo";"Buy";"2024.01.11 22:00:00";"16814.00";"1.98";"2024.01.12 21:00:00";"16838.53";"43,17";"99531,84";"IST";"End Of Friday (Time)";"-172,20";"177,84";"23h 0m";"";"-5,40";"16713,11914";"43,17";"24,53";"99531,84";"17083,01953"
"37";"USATECHIDXUSD_ftmo";"Sell";"2024.01.16 17:45:00";"16896.08";"1.97";"2024.01.17 16:30:00";"16659.53";"468,68";"100000,51";"IST";"PT";"-7,26";"466,00";"22h 45m";"";"2,67";"16997,46094";"468,68";"236,55";"100000,51";"16659,52930"
"42";"USATECHIDXUSD_ftmo";"Sell";"2024.01.18 21:15:00";"16951.37";"1.96";"2024.01.19 09:15:00";"17053.08";"-196,68";"99803,82";"IST";"SL";"-199,35";"22,27";"12h 0m";"";"2,67";"17053,08008";"-196,68";"-101,71";"99803,82";"16714,05078"
"45";"USATECHIDXUSD_ftmo";"Sell";"2024.01.19 20:00:00";"17197.94";"1.93";"2024.01.19 21:00:00";"17267.77";"-134,77";"99669,05";"IST";"End Of Friday (Time)";"-135,30";"0,00";"1h 0m";"";"0,00";"17301,13086";"-134,77";"-69,83";"99669,05";"16957,16992"
"57";"USATECHIDXUSD_ftmo";"Buy";"2024.01.23 20:30:00";"17340.52";"1.92";"2024.01.24 17:30:00";"17617.97";"527,30";"100196,35";"IST";"PT";"-10,49";"532,70";"21h 0m";"";"-5,40";"17236,48047";"527,30";"277,45";"100196,35";"17617,97070"
"61";"USATECHIDXUSD_ftmo";"Sell";"2024.01.25 17:15:00";"17610.97";"1.89";"2024.01.26 08:15:00";"17364.42";"468,65";"100665,01";"IST";"PT";"-42,20";"465,98";"15h 0m";"";"2,67";"17716,64063";"468,65";"246,55";"100665,01";"17364,41992"
"80";"USATECHIDXUSD_ftmo";"Buy";"2024.02.01 10:45:00";"17241.53";"1.93";"2024.02.02 03:00:00";"17517.39";"527,01";"101192,02";"IST";"PT";"-138,04";"532,41";"16h 15m";"";"-5,40";"17138,08008";"527,01";"275,86";"101192,02";"17517,39063"
"95";"USATECHIDXUSD_ftmo";"Buy";"2024.02.05 20:15:00";"17607.59";"1.89";"2024.02.06 18:45:00";"17501.94";"-205,08";"100986,94";"IST";"SL";"-199,68";"135,28";"22h 30m";"";"-5,40";"17501,93945";"-205,08";"-105,65";"100986,94";"17889,31055"
"97";"USATECHIDXUSD_ftmo";"Buy";"2024.02.07 03:45:00";"17603.07";"1.89";"2024.02.09 15:30:00";"17884.72";"521,52";"101508,47";"IST";"PT";"-114,06";"532,32";"2d 11h 45m";"";"-10,79";"17497,44922";"521,52";"281,65";"101508,47";"17884,72070"
"98";"USATECHIDXUSD_ftmo";"Sell";"2024.02.09 16:00:00";"17848.83";"1.86";"2024.02.09 20:15:00";"17955.92";"-199,19";"101309,28";"IST";"SL";"-199,19";"98,97";"4h 15m";"";"0,00";"17955,91992";"-199,19";"-107,09";"101309,28";"17598,94922"
"103";"USATECHIDXUSD_ftmo";"Sell";"2024.02.12 18:30:00";"18034.03";"1.84";"2024.02.13 12:15:00";"17781.55";"467,23";"101776,51";"IST";"PT";"-19,67";"464,56";"17h 45m";"";"2,66";"18142,23047";"467,23";"252,48";"101776,51";"17781,55078"
"110";"USATECHIDXUSD_ftmo";"Sell";"2024.02.14 22:30:00";"17782.31";"1.87";"2024.02.15 23:00:00";"17889.00";"-196,84";"101579,66";"IST";"SL";"-199,51";"121,59";"1d 0h 30m";"";"2,67";"17889,00000";"-196,84";"-106,69";"101579,66";"17533,35938"
"113";"USATECHIDXUSD_ftmo";"Sell";"2024.02.16 09:45:00";"17903.35";"1.86";"2024.02.16 21:00:00";"17815.07";"164,20";"101743,87";"IST";"End Of Friday (Time)";"-106,83";"464,08";"11h 15m";"";"0,00";"18010,76953";"164,20";"88,28";"101743,87";"17652,69922"
"120";"USATECHIDXUSD_ftmo";"Buy";"2024.02.19 17:00:00";"17732.77";"1.87";"2024.02.20 03:45:00";"17626.37";"-204,35";"101539,52";"IST";"SL";"-198,97";"7,70";"10h 45m";"";"-5,38";"17626,36914";"-204,35";"-106,40";"101539,52";"18016,49023"
"132";"USATECHIDXUSD_ftmo";"Sell";"2024.02.22 21:00:00";"18012.56";"1.85";"2024.02.23 21:00:00";"17989.18";"45,93";"101585,45";"IST";"End Of Friday (Time)";"-154,32";"212,06";"1d 0h 0m";"";"2,68";"18120,64063";"45,93";"23,38";"101585,45";"17760,38086"
"139";"USATECHIDXUSD_ftmo";"Buy";"2024.02.27 10:15:00";"17934.50";"1.85";"2024.02.29 01:00:00";"17824.82";"-213,67";"101371,77";"IST";"SL";"-202,91";"112,91";"1d 14h 45m";"";"-10,76";"17826,89063";"-213,67";"-109,68";"101371,77";"18221,44922"
"138";"USATECHIDXUSD_ftmo";"Sell";"2024.02.27 14:30:00";"17992.03";"1.85";"2024.03.01 08:15:00";"18099.98";"-191,69";"101180,09";"IST";"SL";"-199,71";"379,82";"2d 17h 45m";"";"8,02";"18099,98047";"-191,69";"-107,95";"101180,09";"17740,14063"
"142";"USATECHIDXUSD_ftmo";"Sell";"2024.03.01 18:00:00";"18197.48";"1.83";"2024.03.01 20:30:00";"18306.66";"-199,80";"100980,28";"IST";"SL";"-199,80";"44,05";"2h 30m";"";"0,00";"18306,66016";"-199,80";"-109,18";"100980,28";"17942,72070"
"149";"USATECHIDXUSD_ftmo";"Buy";"2024.03.04 22:15:00";"18299.36";"1.82";"2024.03.05 01:00:00";"18189.56";"-205,24";"100775,05";"IST";"SL";"-199,84";"0,00";"2h 45m";"";"-5,40";"18189,56055";"-205,24";"-109,80";"100775,05";"18592,15039"
"157";"USATECHIDXUSD_ftmo";"Sell";"2024.03.07 14:15:00";"18103.43";"1.84";"2024.03.07 17:15:00";"18212.05";"-199,86";"100575,18";"IST";"SL";"-199,86";"37,53";"3h 0m";"";"0,00";"18212,05078";"-199,86";"-108,62";"100575,18";"17849,98047"
"159";"USATECHIDXUSD_ftmo";"Sell";"2024.03.07 22:45:00";"18316.90";"1.81";"2024.03.08 19:45:00";"18060.46";"466,82";"101042,00";"IST";"PT";"-185,68";"464,16";"21h 0m";"";"2,66";"18426,80078";"466,82";"256,44";"101042,00";"18060,46094"
"168";"USATECHIDXUSD_ftmo";"Buy";"2024.03.12 14:30:00";"18002.14";"1.85";"2024.03.15 15:15:00";"17894.13";"-216,03";"100825,98";"IST";"SL";"-199,82";"450,17";"3d 0h 45m";"";"-16,21";"17894,13086";"-216,03";"-108,01";"100825,98";"18290,16992"
"170";"USATECHIDXUSD_ftmo";"Sell";"2024.03.18 15:30:00";"18081.20";"1.84";"2024.03.19 15:30:00";"17828.06";"468,45";"101294,42";"IST";"PT";"-102,52";"465,78";"1d 0h 0m";"";"2,67";"18189,68945";"468,45";"253,14";"101294,42";"17828,06055"
"178";"USATECHIDXUSD_ftmo";"Sell";"2024.03.20 13:45:00";"18077.06";"1.84";"2024.03.20 20:45:00";"18185.52";"-199,57";"101094,86";"IST";"SL";"-199,57";"144,35";"7h 0m";"";"0,00";"18185,51953";"-199,57";"-108,46";"101094,86";"17823,98047"
"183";"USATECHIDXUSD_ftmo";"Buy";"2024.03.22 11:15:00";"18361.87";"1.81";"2024.03.22 21:00:00";"18360.80";"-1,94";"101092,92";"IST";"End Of Friday (Time)";"-198,16";"52,80";"9h 45m";"";"-0,00";"18251,69922";"-1,94";"-1,07";"101092,92";"18655,66016"
"189";"USATECHIDXUSD_ftmo";"Sell";"2024.03.26 09:00:00";"18373.24";"1.81";"2024.04.02 16:00:00";"18116.01";"484,27";"101577,20";"IST";"PT";"-38,28";"465,59";"7d 7h 0m";"";"18,69";"18483,48047";"484,27";"257,23";"101577,20";"18116,00977"
"195";"USATECHIDXUSD_ftmo";"Sell";"2024.04.04 15:45:00";"18324.60";"1.81";"2024.04.04 21:30:00";"18068.06";"464,34";"102041,53";"IST";"PT";"-75,48";"464,34";"5h 45m";"";"0,00";"18434,55078";"464,34";"256,54";"102041,53";"18068,06055"
"207";"USATECHIDXUSD_ftmo";"Buy";"2024.04.08 21:15:00";"18111.05";"1.84";"2024.04.09 17:30:00";"18002.38";"-205,36";"101836,17";"IST";"SL";"-199,95";"185,64";"20h 15m";"";"-5,41";"18002,38086";"-205,36";"-108,67";"101836,17";"18400,83008"
"211";"USATECHIDXUSD_ftmo";"Sell";"2024.04.10 15:15:00";"18251.53";"1.82";"2024.04.10 15:30:00";"17996.01";"465,05";"102301,22";"IST";"PT";"-52,40";"465,05";"15m 0s";"";"0,00";"18361,03906";"465,05";"255,52";"102301,22";"17996,00977"
"214";"USATECHIDXUSD_ftmo";"Buy";"2024.04.11 17:15:00";"17996.11";"1.85";"2024.04.11 21:00:00";"18284.05";"532,69";"102833,91";"IST";"PT";"-3,39";"532,69";"3h 45m";"";"-0,00";"17888,13086";"532,69";"287,94";"102833,91";"18284,05078"
"213";"USATECHIDXUSD_ftmo";"Sell";"2024.04.11 20:15:00";"18233.20";"1.82";"2024.04.12 19:45:00";"17977.94";"467,24";"103301,15";"IST";"PT";"-188,67";"464,57";"23h 30m";"";"2,66";"18342,59961";"467,24";"255,26";"103301,15";"17977,93945"
"229";"USATECHIDXUSD_ftmo";"Buy";"2024.04.16 18:45:00";"17731.06";"1.87";"2024.04.17 09:00:00";"17624.67";"-204,33";"103096,82";"IST";"SL";"-198,95";"166,96";"14h 15m";"";"-5,38";"17624,66992";"-204,33";"-106,39";"103096,82";"18014,75977"
