"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"11";"USATECHIDXUSD_ftmo";"Buy";"2024.01.04 18:30:00";"16394.75";"2.43";"2024.01.04 21:30:00";"16312.78";"-199,19";"99800,81";"IST";"SL";"-199,19";"4,86";"3h 0m";"";"-0,00";"16312,78027";"-199,19";"-81,97";"99800,81";"16575,08984"
"13";"USATECHIDXUSD_ftmo";"Sell";"2024.01.05 16:15:00";"16279.87";"1.36";"2024.01.05 21:00:00";"16330.13";"-68,35";"99732,46";"IST";"End Of Friday (Time)";"-187,41";"11,14";"4h 45m";"";"0,00";"16426,39063";"-68,35";"-50,26";"99732,46";"16051,95020"
"21";"USATECHIDXUSD_ftmo";"Buy";"2024.01.08 05:45:00";"16281.77";"2.45";"2024.01.08 16:45:00";"16460.87";"438,80";"100171,26";"IST";"PT";"-154,40";"438,80";"11h 0m";"";"-0,00";"16200,36035";"438,80";"179,10";"100171,26";"16460,86914"
"70";"USATECHIDXUSD_ftmo";"Sell";"2024.01.09 18:45:00";"16654.96";"1.33";"2024.01.10 21:00:00";"16804.85";"-197,58";"99973,68";"IST";"SL";"-199,35";"32,48";"1d 2h 15m";"";"1,78";"16804,84961";"-197,58";"-149,89";"99973,68";"16421,78906"
"119";"USATECHIDXUSD_ftmo";"Buy";"2024.01.11 17:00:00";"16740.11";"2.38";"2024.01.11 18:00:00";"16656.41";"-199,21";"99774,48";"IST";"SL";"-199,21";"108,79";"1h 0m";"";"-0,00";"16656,41016";"-199,21";"-83,70";"99774,48";"16924,25000"
"140";"USATECHIDXUSD_ftmo";"Buy";"2024.01.12 09:30:00";"16784.89";"2.38";"2024.01.12 21:00:00";"16838.53";"127,66";"99902,13";"IST";"End Of Friday (Time)";"-137,71";"283,05";"11h 30m";"";"-0,00";"16700,97070";"127,66";"53,64";"99902,13";"16969,51953"
"169";"USATECHIDXUSD_ftmo";"Buy";"2024.01.15 16:00:00";"16808.90";"2.37";"2024.01.16 10:00:00";"16724.86";"-205,64";"99696,50";"IST";"SL";"-199,17";"76,55";"18h 0m";"";"-6,46";"16724,85938";"-205,64";"-84,04";"99696,50";"16993,80078"
"171";"USATECHIDXUSD_ftmo";"Buy";"2024.01.16 15:45:00";"16776.04";"2.38";"2024.01.17 09:15:00";"16692.16";"-206,11";"99490,39";"IST";"SL";"-199,63";"291,13";"17h 30m";"";"-6,48";"16692,16016";"-206,11";"-83,88";"99490,39";"16960,58008"
"174";"USATECHIDXUSD_ftmo";"Buy";"2024.01.17 15:00:00";"16744.35";"2.38";"2024.01.17 16:30:00";"16660.63";"-199,25";"99291,13";"IST";"SL";"-199,25";"15,13";"1h 30m";"";"-0,00";"16660,63086";"-199,25";"-83,72";"99291,13";"16928,53906"
"190";"USATECHIDXUSD_ftmo";"Buy";"2024.01.18 06:30:00";"16718.33";"2.39";"2024.01.18 15:30:00";"16902.23";"439,52";"99730,66";"IST";"PT";"-8,63";"439,52";"9h 0m";"";"-0,00";"16634,74023";"439,52";"183,90";"99730,66";"16902,23047"
"189";"USATECHIDXUSD_ftmo";"Sell";"2024.01.18 08:30:00";"16764.80";"1.32";"2024.01.18 15:30:00";"16915.68";"-199,16";"99531,49";"IST";"SL";"-199,16";"23,26";"7h 0m";"";"0,00";"16915,67969";"-199,16";"-150,88";"99531,49";"16530,08984"
"223";"USATECHIDXUSD_ftmo";"Sell";"2024.01.19 10:45:00";"17070.25";"1.3";"2024.01.19 20:15:00";"17223.88";"-199,72";"99331,77";"IST";"SL";"-199,72";"37,80";"9h 30m";"";"0,00";"17223,88086";"-199,72";"-153,63";"99331,77";"16831,26953"
"283";"USATECHIDXUSD_ftmo";"Buy";"2024.01.23 10:15:00";"17329.33";"2.3";"2024.01.24 10:30:00";"17519.95";"431,96";"99763,73";"IST";"PT";"-105,13";"438,43";"1d 0h 15m";"";"-6,47";"17242,67969";"431,96";"190,62";"99763,73";"17519,94922"
"299";"USATECHIDXUSD_ftmo";"Sell";"2024.01.24 17:30:00";"17619.11";"1.26";"2024.01.26 06:30:00";"17372.44";"314,37";"100078,10";"IST";"PT";"-63,26";"310,80";"1d 13h 0m";"";"3,56";"17777,67969";"314,37";"246,67";"100078,10";"17372,43945"
"306";"USATECHIDXUSD_ftmo";"Buy";"2024.01.26 15:30:00";"17442.87";"2.29";"2024.01.26 21:00:00";"17405.02";"-86,68";"99991,43";"IST";"End Of Friday (Time)";"-120,54";"170,52";"5h 30m";"";"-0,00";"17355,66016";"-86,68";"-37,85";"99991,43";"17634,74023"
"307";"USATECHIDXUSD_ftmo";"Buy";"2024.01.29 03:45:00";"17421.74";"2.29";"2024.01.30 01:00:00";"17613.38";"432,38";"100423,81";"IST";"PT";"-27,55";"438,86";"21h 15m";"";"-6,47";"17334,63086";"432,38";"191,64";"100423,81";"17613,38086"
"340";"USATECHIDXUSD_ftmo";"Buy";"2024.01.30 19:15:00";"17488.50";"2.28";"2024.01.31 01:00:00";"17304.61";"-425,74";"99998,07";"IST";"SL";"-419,27";"25,28";"5h 45m";"";"-6,47";"17401,06055";"-425,74";"-183,89";"99998,07";"17680,86914"
"344";"USATECHIDXUSD_ftmo";"Buy";"2024.01.31 21:45:00";"17346.80";"2.3";"2024.01.31 22:00:00";"17260.07";"-199,48";"99798,59";"IST";"SL";"-199,48";"0,00";"15m 0s";"";"-0,00";"17260,07031";"-199,48";"-86,73";"99798,59";"17537,60938"
"347";"USATECHIDXUSD_ftmo";"Buy";"2024.02.01 11:00:00";"17250.79";"2.31";"2024.02.01 23:00:00";"17440.55";"438,35";"100236,94";"IST";"PT";"-186,61";"438,35";"12h 0m";"";"-0,00";"17164,53906";"438,35";"189,76";"100236,94";"17440,55078"
"346";"USATECHIDXUSD_ftmo";"Sell";"2024.02.01 11:00:00";"17254.53";"1.28";"2024.02.01 23:00:00";"17409.82";"-198,77";"100038,16";"IST";"SL";"-198,77";"106,40";"12h 0m";"";"0,00";"17409,82031";"-198,77";"-155,29";"100038,16";"17012,97070"
"383";"USATECHIDXUSD_ftmo";"Sell";"2024.02.02 17:45:00";"17572.46";"1.26";"2024.02.02 21:00:00";"17639.44";"-84,39";"99953,77";"IST";"End Of Friday (Time)";"-118,05";"70,44";"3h 15m";"";"0,00";"17730,60938";"-84,39";"-66,98";"99953,77";"17326,44922"
"417";"USATECHIDXUSD_ftmo";"Buy";"2024.02.05 17:15:00";"17545.61";"2.27";"2024.02.07 17:15:00";"17738.61";"425,19";"100378,96";"IST";"PT";"-182,46";"438,11";"2d 0h 0m";"";"-12,92";"17457,88086";"425,19";"193,00";"100378,96";"17738,60938"
"488";"USATECHIDXUSD_ftmo";"Sell";"2024.02.09 09:15:00";"17798.53";"1.24";"2024.02.09 20:15:00";"17958.72";"-198,64";"100180,33";"IST";"SL";"-198,64";"3,61";"11h 0m";"";"0,00";"17958,72070";"-198,64";"-160,19";"100180,33";"17549,34961"
"518";"USATECHIDXUSD_ftmo";"Sell";"2024.02.12 17:45:00";"17998.25";"1.23";"2024.02.13 14:00:00";"17746.27";"311,71";"100492,04";"IST";"PT";"-57,16";"309,94";"20h 15m";"";"1,78";"18160,23047";"311,71";"251,98";"100492,04";"17746,26953"
